Call number,CONTENTdm number,Item number,Reference URL
NAU.PH.85.3.17.208,6093,2162,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6093
NAU.PH.85.3.000.150,6630,1713,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6630
NAU.PH.85.3.000.257,6634,1732,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6634
NAU.PH.85.3.00.164,6696,1767,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6696
NAU.PH.85.3.00.165,6705,1768,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/6705
NAU.PH.85.3.9.54,7342,1633,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/7342
NAU.PH.85.3.7.17,7349,1640,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/7349
NAU.PH.85.3.211.108,8552,9822,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8552
NAU.PH.85.3.217.252,8554,9845,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8554
NAU.PH.85.3.217.253,8555,9844,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8555
NAU.PH.85.3.217.81,8569,9832,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8569
NAU.PH.85.3.211.108,8571,9823,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8571
NAU.PH.85.3.211.202,8580,9817,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8580
NAU.PH.85.3.217.138,8592,9826,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8592
NAU.PH.85.3.211.225,8602,9816,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8602
NAU.PH.85.3.211.226,8603,9815,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8603
NAU.PH.85.5.150.12,8608,9759,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8608
NAU.PH.85.3.183.254,8644,9769,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8644
NAU.PH.85.3.190.11,8646,9765,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8646
NAU.PH.85.3.183.250,8647,9763,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8647
NAU.PH.85.3.179.3,8650,9762,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8650
NAU.PH.83.2.58,8762,9637,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8762
NAU.PH.85.3.210.109,8970,10267,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8970
NAU.PH.85.3.210.114,8973,10265,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8973
NAU.PH.85.3.210.179,8976,10262,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8976
NAU.PH.85.3.210.180,8977,10261,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8977
NAU.PH.85.3.231.10,8997,10230,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/8997
NAU.PH.85.3.210.181,9005,10260,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9005
NAU.PH.85.3.231.21,9017,10231,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9017
NAU.PH.85.3.231.50,9051,10170,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9051
NAU.PH.85.3.231.174,9134,10066,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9134
NAU.PH.85.3.150.174,9178,10446,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9178
NAU.PH.85.3.231.306,9205,18636,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9205
NAU.PH.85.3.231.8,9221,18604,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9221
NAU.PH.85.3.52.109,9230,18605,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9230
NAU.PH.85.3.231.9,9235,18603,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/9235
NAU.PH.2000.37.20,10757,65858,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/10757
NAU.PH.2006.36.4,12275,69753,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12275
NAU.PH.2006.13.59,12480,67038,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12480
NAU.PH.2006.13.60,12487,67039,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12487
NAU.PH.2006.13.32,12488,66937,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12488
NAU.PH.2006.13. 44,12489,66971,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12489
NAU.PH.2006.13. 43,12490,66970,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12490
NAU.PH.2006.13. 45,12491,66973,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12491
NAU.PH.2006.13.47,12492,66977,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12492
NAU.PH.2006.13.40,12493,66959,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12493
NAU.PH.2006.13.48,12494,66979,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12494
NAU.PH.2006.13.56,12497,66994,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12497
NAU.PH.2006.13.58,12498,67037,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12498
NAU.PH.2006.13.13,12499,66894,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12499
NAU.PH.2006.13.14,12500,66895,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12500
NAU.PH.2006.13.16,12501,66898,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12501
NAU.PH.2006.13.17,12502,66899,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12502
NAU.PH.2006.13.18,12503,66900,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12503
NAU.PH.2006.13.20,12505,66901,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12505
NAU.PH.2006.13.30,12507,66935,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12507
NAU.PH.2006.13.31,12508,66936,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12508
NAU.PH.2006.13.2,12510,66875,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12510
NAU.PH.2006.13.3,12511,66876,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12511
NAU.PH.2006.13.5,12512,66877,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12512
NAU.PH.2006.13.8,12513,66879,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12513
NAU.PH.2006.13.49,12514,66981,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12514
NAU.PH.2006.13.6,12516,66878,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12516
NAU.PH.2006.13.50,12517,66983,http://cdm16748.contentdm.oclc.org/cdm/ref/collection/cpa/id/12517
